datetime,value
2021-02-10 13:00,1.772
2021-02-10 13:15,1.771
2021-02-10 13:30,1.769
2021-02-10 13:45,1.769
2021-02-10 14:00,1.768
2021-02-10 14:15,1.767
2021-02-10 14:30,1.766
2021-02-10 14:45,1.766
2021-02-10 15:00,1.765
2021-02-10 15:15,1.763
2021-02-10 15:30,1.762
2021-02-10 15:45,1.761
2021-02-10 16:00,1.761
2021-02-10 16:15,1.760
2021-02-10 16:30,1.759
2021-02-10 16:45,1.757
2021-02-10 17:00,1.756
2021-02-10 17:15,1.754
2021-02-10 17:30,1.755
2021-02-10 17:45,1.753
2021-02-10 18:00,1.752
2021-02-10 18:15,1.751
2021-02-10 18:30,1.750
2021-02-10 18:45,1.748
2021-02-10 19:00,1.747
2021-02-10 19:15,1.747
2021-02-10 19:30,1.745
2021-02-10 19:45,1.744
2021-02-10 20:00,1.743
2021-02-10 20:15,1.742
2021-02-10 20:30,1.740
2021-02-10 20:45,1.740
2021-02-10 21:00,1.739
2021-02-10 21:15,1.738
2021-02-10 21:30,1.737
2021-02-10 21:45,1.735
2021-02-10 22:00,1.735
2021-02-10 22:15,1.734
2021-02-10 22:30,1.733
2021-02-10 22:45,1.733
2021-02-10 23:00,1.731
2021-02-10 23:15,1.730
2021-02-10 23:30,1.729
2021-02-10 23:45,1.729
2021-02-11 00:00,1.728
2021-02-11 00:15,1.726
2021-02-11 00:30,1.726
2021-02-11 00:45,1.725
2021-02-11 01:00,1.724
2021-02-11 01:15,1.723
2021-02-11 01:30,1.722
2021-02-11 01:45,1.722
2021-02-11 02:00,1.721
2021-02-11 02:15,1.720
2021-02-11 02:30,1.720
2021-02-11 02:45,1.719
2021-02-11 03:00,1.717
2021-02-11 03:15,1.717
2021-02-11 03:30,1.716
2021-02-11 03:45,1.716
2021-02-11 04:00,1.715
2021-02-11 04:15,1.715
2021-02-11 04:30,1.713
2021-02-11 04:45,1.712
2021-02-11 05:00,1.712
2021-02-11 05:15,1.711
2021-02-11 05:30,1.711
2021-02-11 05:45,1.710
2021-02-11 06:00,1.709
2021-02-11 06:15,1.708
2021-02-11 06:30,1.707
2021-02-11 06:45,1.707
2021-02-11 07:00,1.706
2021-02-11 07:15,1.705
2021-02-11 07:30,1.704
2021-02-11 07:45,1.704
2021-02-11 08:00,1.703
2021-02-11 08:15,1.702
2021-02-11 08:30,1.701
2021-02-11 08:45,1.700
2021-02-11 09:00,1.699
2021-02-11 09:15,1.698
2021-02-11 09:30,1.698
2021-02-11 09:45,1.697
2021-02-11 10:00,1.697
2021-02-11 10:15,1.697
2021-02-11 10:30,1.695
2021-02-11 10:45,1.695
2021-02-11 11:00,1.694
2021-02-11 11:15,1.693
2021-02-11 11:30,1.691
2021-02-11 11:45,1.692
2021-02-11 12:00,1.690
2021-02-11 12:15,1.690
2021-02-11 12:30,1.690
2021-02-11 12:45,1.688
